index,imf_0,imf_1,imf_2,imf_3,imf_4,imf_5,imf_6,imf_7,residue
0,3.81173718,2.72572613,6.36685779,2.43393099,-0.40192035,-0.42808804,-0.74690291,-0.88348973,87.12214895
1,2.05012397,2.89347029,6.58081665,2.62933351,-0.40490429,-0.42672836,-0.74552814,-0.88292096,87.11692247
2,-0.27878523,2.86880965,6.77834017,2.81518467,-0.40786663,-0.42540103,-0.74415828,-0.88230649,87.11164683
3,0.46177583,2.53217359,6.95238440,2.99029380,-0.41083941,-0.42406940,-0.74280503,-0.88164211,87.10631969
4,0.14032198,1.87522225,7.09541318,3.15342845,-0.41380378,-0.42273205,-0.74147910,-0.88094409,87.10094245
5,-0.02085008,1.02691607,7.19917487,3.30331130,-0.41670437,-0.42140974,-0.74019274,-0.88024217,87.09551727
6,-0.14782976,0.14630244,7.25528252,3.43863325,-0.41949386,-0.42011892,-0.73895619,-0.87956444,87.09004630
7,-0.65774113,-0.60600353,7.25541900,3.55805983,-0.42214280,-0.41887898,-0.73776864,-0.87892993,87.08453249
8,0.46460863,-1.07682047,7.19142290,3.66027880,-0.42460719,-0.41772308,-0.73663644,-0.87835452,87.07898195
9,-0.75016139,-1.14838459,7.05505369,3.74438463,-0.42684061,-0.41667358,-0.73558519,-0.87784885,87.07340157
10,-0.43051159,-0.80839754,6.83973883,3.81048752,-0.42884279,-0.41573900,-0.73463134,-0.87740037,87.06779826
11,-0.12255007,-0.17041182,6.54557762,3.85915569,-0.43064161,-0.41492908,-0.73377313,-0.87698540,87.06217893
12,0.82478014,0.55113323,6.17664886,3.89101435,-0.43227084,-0.41425129,-0.73300654,-0.87657889,87.05655050
13,0.78829963,1.14461712,5.73745124,3.90668440,-0.43377145,-0.41371747,-0.73231551,-0.87615576,87.05091987
14,-0.49250240,1.47616484,5.23388209,3.90677208,-0.43518331,-0.41334189,-0.73167914,-0.87569096,87.04529395
15,0.31259114,1.50631606,4.67655936,3.89186167,-0.43654183,-0.41314476,-0.73107040,-0.87515941,87.03967965
16,0.96878527,1.26970765,4.07871014,3.86252773,-0.43787726,-0.41315154,-0.73045974,-0.87453606,87.03408388
17,0.15897542,0.83703976,3.45395934,3.81933391,-0.43921865,-0.41338572,-0.72982053,-0.87379584,87.02851356
18,-0.75887138,0.30449044,2.81593614,3.76283960,-0.44058902,-0.41385045,-0.72914335,-0.87292196,87.02297474
19,-1.17467092,-0.22761714,2.17827308,3.69360082,-0.44198798,-0.41451456,-0.72844000,-0.87193058,87.01746996
