index,imf_0,imf_1,imf_2,imf_3,imf_4,imf_5,residue
0,-1.83760932,-0.58099799,-0.59715713,-1.04355015,-0.31233636,0.63127169,103.62472283
1,-0.81385504,-0.72955689,-0.64297527,-1.05636717,-0.35803768,0.64355757,103.61698976
2,-0.21698893,-0.63882490,-0.67183615,-1.06107477,-0.40259033,0.65539877,103.60935354
3,0.20527539,-0.30164952,-0.68887336,-1.05618750,-0.44585309,0.66660066,103.60200452
4,0.58659093,0.01047271,-0.70179734,-1.04040724,-0.48768807,0.67735158,103.59475010
5,-0.40946155,0.13909814,-0.71737506,-1.01269358,-0.52796366,0.68745677,103.58778075
6,-0.15826605,0.16208168,-0.73779054,-0.97247854,-0.56655652,0.69691119,103.58109726
7,0.18371627,0.16327522,-0.75965143,-0.91960340,-0.60335138,0.70580419,103.57460603
8,-0.02797519,0.10280006,-0.77434430,-0.85432898,-0.63824156,0.71403668,103.56840185
9,0.11632055,-0.03764599,-0.76825112,-0.77743718,-0.67112784,0.72169988,103.56238924
10,-0.50249621,-0.19980395,-0.72820741,-0.69023585,-0.70191829,0.72859954,103.55675820
11,0.09071238,-0.32014331,-0.64430153,-0.59448756,-0.73052598,0.73453672,103.55170339
12,-0.09213676,-0.41275954,-0.51234862,-0.49220182,-0.75686449,0.73970050,103.54703145
13,0.67631090,-0.50750107,-0.33263498,-0.38549873,-0.78084727,0.74408594,103.54274307
14,-0.51702425,-0.54751900,-0.11284109,-0.27654754,-0.80238779,0.74797709,103.53854993
15,-0.04457245,-0.39308892,0.13070071,-0.16754225,-0.82139953,0.75089038,103.53493133
16,-0.16861523,-0.02962066,0.37759845,-0.06068515,-0.83779603,0.75272973,103.53197919
17,0.38471344,0.40057135,0.60674159,0.04180559,-0.85149058,0.75358553,103.52959902
18,-0.24683114,0.75102685,0.79725131,0.13770657,-0.86239524,0.75363992,103.52760477
19,-0.17341642,0.94226845,0.93073857,0.22478712,-0.87042238,0.75317894,103.52570689
20,0.72634899,0.93141971,0.99471470,0.30081803,-0.87548638,0.75200822,103.52409682
21,-0.56950286,0.73934527,0.98557308,0.36378305,-0.87750424,0.75012884,103.52277133
22,0.08143956,0.46996869,0.91036478,0.41224931,-0.87639756,0.74743709,103.52183277
23,0.10318694,0.19727466,0.78389410,0.44554622,-0.87209929,0.74431920,103.52089460
24,-0.16580443,-0.04595712,0.62361745,0.46360721,-0.86456369,0.74058081,103.52015158
25,0.09488381,-0.21195576,0.44916441,0.46672750,-0.85376984,0.73632091,103.51950580
26,-0.22206022,-0.26784411,0.28141528,0.45541867,-0.83972226,0.73144575,103.51905325
27,0.15578128,-0.24091257,0.13906378,0.43030076,-0.82244129,0.72605499,103.51869769
28,0.02030430,-0.22503843,0.03649219,0.39217639,-0.80197275,0.72005817,103.51853389
29,0.10686474,-0.27377533,-0.01824153,0.34206232,-0.77839590,0.71355510,103.51846691
30,-0.14120311,-0.33950210,-0.02385664,0.28126190,-0.75181534,0.70655163,103.51849597
31,0.05176898,-0.31159891,0.01199725,0.21131353,-0.72235446,0.69914862,103.51852542
32,-0.47423567,-0.12931794,0.07297480,0.13393913,-0.69014633,0.69135132,103.51855527
33,-0.05943014,0.17012569,0.13760521,0.05104673,-0.65532610,0.68316499,103.51858552
34,0.55645312,0.43234865,0.18410656,-0.03542795,-0.61803151,0.67459489,103.51861616
35,-0.20265283,0.52421684,0.19518807,-0.12364307,-0.57840297,0.66564628,103.51864721
36,0.35609045,0.45641105,0.16128952,-0.21187081,-0.53658163,0.65632441,103.51867865
37,-0.16860373,0.31189960,0.08279952,-0.29854965,-0.49270860,0.64663454,103.51871049
38,-0.22306691,0.16147561,-0.03090937,-0.38217785,-0.44692419,0.63658193,103.51874274
39,0.38112262,0.01910161,-0.16453973,-0.46131491,-0.39936733,0.62617183,103.51877538
40,-0.41986071,-0.13385485,-0.29965973,-0.53455361,-0.35017680,0.61540950,103.51880843
41,0.35259866,-0.27394469,-0.41728722,-0.60053062,-0.29949072,0.60430021,103.51884188
42,-0.51916869,-0.37210989,-0.50127396,-0.65794356,-0.24744714,0.59284920,103.51887573
