index,imf_0,imf_1,imf_2,imf_3,imf_4,residue
0,-0.27447655,-0.62861920,0.41150658,0.30870680,1.68534047,98.49754189
1,-0.46119740,-0.66169512,0.31648688,0.35040596,1.66602989,98.50760068
2,-0.09577207,-0.70935830,0.22403556,0.39037226,1.64674472,98.51779193
3,0.30930246,-0.69786497,0.13582858,0.42851560,1.62746004,98.52814454
4,-0.31185245,-0.55473949,0.05347229,0.46474585,1.60818409,98.53865433
5,0.35580582,-0.30235517,-0.02173305,0.49897292,1.58893217,98.54930996
6,0.07027393,-0.02053440,-0.08870700,0.53110822,1.56971977,98.56009999
7,-0.31239936,0.23158048,-0.14655577,0.56106957,1.55056322,98.57101207
8,-0.23794297,0.40909861,-0.19444230,0.58878124,1.53148231,98.58203044
9,-0.05054014,0.50358241,-0.23157685,0.61418412,1.51249767,98.59313849
10,0.36019955,0.51588515,-0.25714415,0.63721050,1.49362994,98.60431958
11,-0.24071097,0.45759529,-0.27063260,0.65774482,1.47489972,98.61555711
12,-0.22938087,0.37887977,-0.27236173,0.67568259,1.45632720,98.62683493
13,-0.05450057,0.31291263,-0.26274208,0.69097162,1.43793148,98.63813793
14,0.01033608,0.22032026,-0.24203106,0.70358560,1.41973213,98.64945055
15,0.34184407,-0.00556767,-0.21057828,0.71351053,1.40174891,98.66075704
16,-0.38694920,-0.36333084,-0.16887231,0.72073502,1.38399543,98.67204748
17,-0.08509356,-0.69623274,-0.11742999,0.72524887,1.36648570,98.68331041
18,-0.01582015,-0.90587454,-0.05676814,0.72704357,1.34923294,98.69453340
19,0.10190983,-0.98855308,0.01251157,0.72611241,1.33224717,98.70570659
20,-0.18566817,-0.92989073,0.08929849,0.72245327,1.31553736,98.71682098
21,-0.30379754,-0.72289051,0.17171716,0.71606639,1.29911233,98.72786772
22,-0.17392546,-0.40058382,0.25771738,0.70695713,1.28298047,98.73883840
23,0.17611780,-0.00795499,0.34524772,0.69513203,1.26715002,98.74972476
24,-0.24642872,0.40807480,0.43225707,0.68059735,1.25162925,98.76051851
25,-0.08379147,0.79615122,0.51669438,0.66335929,1.23642667,98.77121110
26,-0.09615293,1.10677170,0.59650789,0.64342470,1.22155147,98.78179332
27,0.51944342,1.29100241,0.66964379,0.62080258,1.20701060,98.79225820
28,0.38473730,1.30655301,0.73413813,0.59549874,1.19280600,98.80260377
29,0.38101751,1.15058609,0.78867771,0.56751502,1.17893513,98.81283255
30,0.14968846,0.89492006,0.83324576,0.53686545,1.16539261,98.82294989
31,-0.40472641,0.64678389,0.86818350,0.50359759,1.15217159,98.83296262
32,0.28829526,0.49729414,0.89384401,0.46779222,1.13925658,98.84288620
33,-0.25419765,0.43229593,0.91068436,0.42956280,1.12662866,98.85273952
34,0.34087484,0.33876565,0.91927360,0.38905422,1.11427925,98.86253115
35,-0.00997698,0.14853558,0.91991235,0.34642430,1.10220742,98.87226198
36,0.14841382,-0.11413653,0.91274618,0.30184689,1.09039960,98.88194557
37,-0.02259398,-0.39482426,0.89789999,0.25549965,1.07883723,98.89160044
38,-0.34938258,-0.65138840,0.87549868,0.20756026,1.06749178,98.90125510
39,-0.56724993,-0.84670868,0.84566713,0.15820638,1.05633925,98.91093353
40,-0.35250075,-0.95454197,0.80853106,0.10761569,1.04535903,98.92065632
41,0.25618611,-0.97973213,0.76420670,0.05596585,1.03454267,98.93043187
42,0.32105079,-0.94224784,0.71271849,0.00343455,1.02389073,98.94025962
43,-0.22349744,-0.84896286,0.65383049,-0.04980056,1.01339229,98.95015046
44,0.09775005,-0.67513036,0.58689511,-0.10356179,1.00303466,98.96011705
45,-0.20796154,-0.38017680,0.51108127,-0.15767148,0.99281332,98.97016388
46,-0.33887535,0.01567250,0.42590239,-0.21195197,0.98272897,98.98029025
47,0.41038297,0.42564841,0.33101071,-0.26622556,0.97278759,98.99049012
48,0.26308069,0.74286587,0.22607738,-0.32031461,0.96300046,99.00075220
49,-0.03736132,0.90835290,0.11091423,-0.37404143,0.95337936,99.01106470
50,0.23099594,0.91543286,-0.01390220,-0.42722836,0.94393562,99.02141624
51,0.08052599,0.79559686,-0.14638617,-0.47969771,0.93468214,99.03179392
52,0.32991171,0.58030608,-0.28422660,-0.53127184,0.92563690,99.04217971
53,0.03200141,0.30787362,-0.42511239,-0.58177305,0.91682408,99.05254942
54,-0.31617230,0.02644000,-0.56673246,-0.63102369,0.90825800,99.06288871
55,0.21096277,-0.21306414,-0.70677570,-0.67884607,0.89992680,99.07320940
56,-0.21782213,-0.36221128,-0.84293103,-0.72506253,0.89179955,99.08354239
57,-0.44362159,-0.39663436,-0.97288394,-0.76949541,0.88385490,99.09390903
58,0.41389212,-0.32447547,-1.09431218,-0.81196702,0.87608227,99.10431986
59,-0.28780321,-0.22859654,-1.20489893,-0.85229970,0.86848469,99.11477183
60,0.29360343,-0.19155914,-1.30234457,-0.89031577,0.86106702,99.12526005
61,-0.03800342,-0.21720122,-1.38465942,-0.92583757,0.85382889,99.13578487
62,-0.15300805,-0.26468510,-1.45004800,-0.95868742,0.84677074,99.14634581
63,-0.32583791,-0.30549247,-1.49647134,-0.98868766,0.83989360,99.15694183
64,0.37269980,-0.36142369,-1.52139864,-1.01566328,0.83319843,99.16757194
65,-0.18193086,-0.47724347,-1.52214211,-1.03945775,0.82668584,99.17823548
66,-0.00500129,-0.63321166,-1.49614008,-1.05996807,0.82035654,99.18893169
67,0.23204107,-0.75633145,-1.44119595,-1.07718885,0.81421161,99.19965939
68,-0.46010653,-0.74863620,-1.35667696,-1.09118304,0.80825261,99.21041686
69,0.35062800,-0.57030530,-1.24483578,-1.10203601,0.80248106,99.22120222
70,0.45412009,-0.28508636,-1.10983657,-1.10983544,0.79689813,99.23201352
71,0.42654694,0.02892260,-0.95617693,-1.11466843,0.79150487,99.24284831
72,0.07924812,0.31377458,-0.78835446,-1.11662173,0.78630209,99.25370408
73,-0.11655833,0.52479717,-0.61086675,-1.11578172,0.78129024,99.26457827
74,0.33350189,0.62570929,-0.42821141,-1.11223436,0.77646935,99.27546835
75,0.37284857,0.58631346,-0.24488005,-1.10606537,0.77183918,99.28637179
76,0.60872389,0.39199858,-0.06511182,-1.09736036,0.76739942,99.29728605
77,-0.04938292,0.09157786,0.10783021,-1.08620492,0.76314972,99.30820859
78,-0.58094737,-0.20820142,0.27107597,-1.07268465,0.75908973,99.31913687
79,-0.05293655,-0.40566702,0.42177006,-1.05688513,0.75521911,99.33006836
80,0.01199835,-0.47247546,0.55784218,-1.03889193,0.75153747,99.34100052
81,-0.23345372,-0.42278176,0.67777689,-1.01879062,0.74804448,99.35193081
82,-0.09864509,-0.29072972,0.78021183,-0.99666680,0.74473976,99.36285670
83,-0.19742639,-0.11464036,0.86376257,-0.97260603,0.74162296,99.37377565
84,0.17921924,0.05220736,0.92703434,-0.94669390,0.73869372,99.38468511
85,0.30545337,0.15101165,0.96863492,-0.91901599,0.73595168,99.39558256
86,0.02774183,0.15803196,0.98711865,-0.88965759,0.73339648,99.40646546
87,-0.19207141,0.12915592,0.98083218,-0.85870351,0.73102776,99.41733126
88,-0.16800032,0.13785206,0.94841214,-0.82624563,0.72884517,99.42817744
89,0.01273685,0.19104116,0.88940460,-0.79240402,0.72684833,99.43900146
90,0.28653285,0.22860477,0.80435270,-0.75733510,0.72503690,99.44980077
91,0.31014605,0.19666390,0.69516653,-0.72121731,0.72341051,99.46057285
92,0.00185372,0.10708260,0.56552263,-0.68423565,0.72196881,99.47131515
93,-0.37772548,0.01754948,0.41994842,-0.64657637,0.72071144,99.48202513
94,0.29157496,-0.02448651,0.26310107,-0.60842784,0.71963803,99.49270027
95,-0.27065374,-0.04444021,0.09963061,-0.56997896,0.71874822,99.50333802
96,0.29006958,-0.09726874,-0.06581533,-0.53141860,0.71804167,99.51393584
97,0.24367761,-0.16510611,-0.22858913,-0.49293566,0.71751800,99.52449120
98,-0.43048589,-0.19689995,-0.38404314,-0.45471905,0.71717686,99.53500157
99,0.19928121,-0.15405528,-0.52754985,-0.41695763,0.71701789,99.54546440
100,0.31023277,-0.06508988,-0.65444973,-0.37984032,0.71704074,99.55587716
101,-0.02011949,0.02176887,-0.75967415,-0.34355600,0.71724503,99.56623730
102,-0.18859583,0.06158761,-0.83828949,-0.30829320,0.71763042,99.57654230
103,0.16525764,0.01766573,-0.88640650,-0.27422503,0.71819654,99.58678962
104,-0.16442053,-0.11830747,-0.90189896,-0.24144690,0.71894303,99.59697671
105,0.17686539,-0.29447397,-0.88353406,-0.20995558,0.71986954,99.60710105
106,0.33377210,-0.40844972,-0.83054818,-0.17972669,0.72097570,99.61716009
107,-0.55783225,-0.36871856,-0.74397382,-0.15073582,0.72226115,99.62715130
108,0.01530752,-0.17043968,-0.62784779,-0.12295859,0.72372555,99.63707214
109,0.83442678,0.06857483,-0.48688948,-0.09637060,0.72536852,99.64692007
110,0.56100465,0.21597264,-0.32581826,-0.07094748,0.72718971,99.65669256
111,0.56771114,0.21463484,-0.14935349,-0.04666481,0.72918875,99.66638707
112,-0.16490817,0.12105221,0.03778425,-0.02349822,0.73136530,99.67600106
113,-0.55062405,0.01860329,0.23088261,-0.00142331,0.73371899,99.68553200
114,-0.74252996,-0.01680046,0.42529041,0.01958432,0.73624946,99.69497734
115,-0.37099875,0.03473124,0.61641252,0.03954904,0.73895634,99.70433456
